time_window_ms;center_frequency_hz;bandwidth_hz;RSSI_dB;SNR_dB;puissance_moyenne;variance_IQ;kurtosis;skewness;PSD_mean;occupation_spectrale;ISR_dB;RSRP_dB;RSRQ_dB;EVM_percent;BER_est;file_id;window_id;rf_pattern
5,2897;1734000000,0;48000000,0;-36,464;16,8654;0,0002257344895042479;0,0002257344895042479;0,004758;0,000375;3,672008010158212e-12;0,791016;0,8459;-60,7237;-59,7056;14,346;0,09257951309075911;IQ_2024-04-20T22-06-22_790713246.json;0;chirp
5,2897;1734000000,0;48000000,0;-36,4652;16,5431;0,0002256733423564583;0,00022567326959688216;-0,017161;0,002076;3,6746651728425395e-12;0,790527;0,9337;-60,7249;-59,7041;14,8882;0,09561162745446411;IQ_2024-04-20T22-06-22_790713246.json;1;chirp
5,2897;1734000000,0;48000000,0;-36,4798;16,7601;0,00022491347044706345;0,0002249132376164198;-0,003294;-0,001155;3,659804230504715e-12;0,791504;0,9526;-60,7395;-59,7241;14,5209;0,09355924900741616;IQ_2024-04-20T22-06-22_790713246.json;2;chirp
5,2897;1734000000,0;48000000,0;-36,4748;16,9534;0,00022517521574627608;0,00022517521574627608;-0,013126;-0,000635;3,662861680631124e-12;0,791016;1,0989;-60,7345;-59,7163;14,2013;0,09176799100546948;IQ_2024-04-20T22-06-22_790713246.json;3;chirp
5,2897;1734000000,0;48000000,0;-36,4861;16,7903;0,0002245888754259795;0,00022458886087406427;-0,007151;0,000824;3,6524533397752634e-12;0,790527;1,0014;-60,7458;-59,725;14,4706;0,09327786459015201;IQ_2024-04-20T22-06-26_233650886.json;0;chirp
5,2897;1734000000,0;48000000,0;-36,4374;16,8439;0,00022712188365403563;0,0002271215635119006;-0,016923;0,000442;3,6938885110415765e-12;0,79126;2,2552;-60,6971;-59,6803;14,3816;0,0927791944825499;IQ_2024-04-20T22-06-26_233650886.json;1;chirp
5,2897;1734000000,0;48000000,0;-36,4801;16,76;0,0002248982636956498;0,00022489644470624626;-0,02141;0,002288;3,6590999327734686e-12;0,791016;1,0303;-60,7398;-59,7217;14,5211;0,09356053385699939;IQ_2024-04-20T22-06-26_233650886.json;2;chirp
5,2897;1734000000,0;48000000,0;-36,4796;16,9887;0,0002249256504001096;0,0002249253448098898;-0,015562;0,002378;3,6596220845397376e-12;0,791504;0,9599;-60,7393;-59,7238;14,1438;0,09144516816519031;IQ_2024-04-20T22-06-26_233650886.json;3;chirp
5,2897;1734000000,0;48000000,0;-36,4729;16,8801;0,00022527502733282745;0,0002252748527098447;-0,013257;0,004814;3,6653831012034566e-12;0,791504;0,8913;-60,7326;-59,7171;14,3217;0,09244357467411973;IQ_2024-04-20T22-06-29_647187383.json;0;chirp
5,2897;1734000000,0;48000000,0;-36,4774;16,6747;0,0002250411343993619;0,00022504079970531166;0,000106;0,004223;3,660264365906718e-12;0,790527;0,9267;-60,7371;-59,7162;14,6645;0,0943624188478613;IQ_2024-04-20T22-06-29_647187383.json;1;chirp
5,2897;1734000000,0;48000000,0;-36,4538;16,6102;0,00022626736608799547;0,00022626739519182593;-0,014894;-0,00388;3,682010425720694e-12;0,790527;1,2265;-60,7135;-59,6926;14,7736;0,09497214359867855;IQ_2024-04-20T22-06-29_647187383.json;2;chirp
5,2897;1734000000,0;48000000,0;-36,4052;17,1041;0,0002288142713950947;0,000228814227739349;-0,011218;-0,003551;3,722857525728651e-12;0,791016;3,032;-60,6649;-59,6467;13,9571;0,09039566057033183;IQ_2024-04-20T22-06-29_647187383.json;3;chirp
5,2897;1734000000,0;48000000,0;-36,4679;16,4786;0,00022553224698640406;0,00022553220333065838;-0,006663;-0,002471;3,669313117238282e-12;0,790039;0,9618;-60,7276;-59,7041;14,9993;0,09623074551203213;IQ_2024-04-20T22-06-33_72054922.json;0;chirp
5,2897;1734000000,0;48000000,0;-36,4628;16,9599;0,0002257966552861035;0,00022579632059205323;-0,008152;0,003161;3,6730176192212305e-12;0,791504;0,9074;-60,7225;-59,707;14,1908;0,09170898866761977;IQ_2024-04-20T22-06-33_72054922.json;1;chirp
